Image,Ground_Truth,Prediction,Confidence,Is_Correct,Top_2_Guess,Prob_metal,Prob_organic,Prob_paper,Prob_plastic
test_29_jpg.rf.69baced5726135bfd060a1f91bfc44b2.jpg,metal,metal,96.67,True,plastic (2.06%),0.9667,0.0051,0.0076,0.0206
test_29_jpg.rf.69baced5726135bfd060a1f91bfc44b2.jpg,metal,metal,88.77,True,plastic (8.73%),0.8877,0.0107,0.0143,0.0873
test_23_jpg.rf.1cf8492f78e8174412690a418eb212a1.jpg,metal,metal,93.06,True,plastic (3.79%),0.9306,0.0091,0.0223,0.0379
test_1_jpg.rf.3c3fc9b75f2ff74bb7046c1cf1c186a0.jpg,metal,metal,87.1,True,plastic (10.25%),0.871,0.012,0.0144,0.1025
test_1_jpg.rf.3c3fc9b75f2ff74bb7046c1cf1c186a0.jpg,metal,metal,96.62,True,plastic (2.12%),0.9662,0.0045,0.0081,0.0212
test_1_jpg.rf.3c3fc9b75f2ff74bb7046c1cf1c186a0.jpg,metal,metal,94.75,True,plastic (3.27%),0.9475,0.0084,0.0114,0.0327
test_13_jpg.rf.93f91cf6fbd57e873bbf86332562e1bf.jpg,metal,metal,75.4,True,plastic (12.84%),0.754,0.0215,0.0961,0.1284
test_3_jpg.rf.2636fd8383fbf7d6f50984647373b5df.jpg,metal,metal,94.38,True,plastic (3.34%),0.9438,0.0091,0.0137,0.0334
test_26_jpg.rf.7a7435ca20adfb8753620446db61094d.jpg,metal,metal,94.81,True,plastic (3.32%),0.9481,0.0076,0.0111,0.0332
test_18_jpg.rf.f216cad11bbc52432287916ef1a2e645.jpg,metal,organic,90.94,False,metal (3.7%),0.037,0.9094,0.0306,0.0231
test_10_jpg.rf.ce41a146d4d97b1caa094d9cf86a3cdf.jpg,metal,metal,95.16,True,plastic (3.29%),0.9516,0.0058,0.0098,0.0329
test_5_jpg.rf.be7a7ab89d6adfa69bf72a465fbe2bbb.jpg,metal,metal,91.3,True,plastic (5.82%),0.913,0.0077,0.0212,0.0582
test_20_jpg.rf.14d29eeb60ac4c14be175256381026a1.jpg,metal,metal,53.11,True,plastic (39.36%),0.5311,0.0271,0.0481,0.3936
test_27_jpg.rf.54ce2ae983397916f7ca97ad94333e36.jpg,metal,plastic,82.14,False,metal (14.27%),0.1427,0.0169,0.019,0.8214
test_27_jpg.rf.54ce2ae983397916f7ca97ad94333e36.jpg,metal,metal,96.48,True,plastic (2.19%),0.9648,0.0054,0.0079,0.0219
test_27_jpg.rf.54ce2ae983397916f7ca97ad94333e36.jpg,metal,metal,95.85,True,plastic (2.59%),0.9585,0.006,0.0096,0.0259
test_27_jpg.rf.54ce2ae983397916f7ca97ad94333e36.jpg,metal,plastic,70.22,False,metal (22.49%),0.2249,0.0238,0.049,0.7022
test_16_jpg.rf.92e1e28acfbf8987873f0e1ea8e3bd8d.jpg,metal,metal,95.89,True,plastic (2.64%),0.9589,0.0061,0.0085,0.0264
test_21_jpg.rf.c987674ec59658ce2fe290471ffa6f03.jpg,metal,metal,96.59,True,plastic (2.14%),0.9659,0.0051,0.0075,0.0214
test_21_jpg.rf.c987674ec59658ce2fe290471ffa6f03.jpg,metal,metal,87.98,True,plastic (8.83%),0.8798,0.013,0.0189,0.0883
test_6_jpg.rf.634105a8d11283bc909f63ad52bb0957.jpg,metal,metal,83.83,True,plastic (7.84%),0.8383,0.0509,0.0324,0.0784
test_2_jpg.rf.070e70c75cbb5014c6a411727e0b5ada.jpg,metal,metal,96.39,True,plastic (2.22%),0.9639,0.0053,0.0085,0.0222
test_14_jpg.rf.4e123874c06d5bcb3d4ba96a97874cd5.jpg,metal,metal,85.18,True,plastic (11.32%),0.8518,0.0122,0.0228,0.1132
test_4_jpg.rf.7b192515247a8d0383baa5f2bd56e406.jpg,metal,metal,97.0,True,plastic (1.84%),0.97,0.0043,0.0073,0.0184
test_7_jpg.rf.5b57f0620f0f3a026d4d0eb0fc027652.jpg,metal,metal,90.41,True,plastic (7.16%),0.9041,0.0115,0.0129,0.0716
test_7_jpg.rf.5b57f0620f0f3a026d4d0eb0fc027652.jpg,metal,metal,94.91,True,plastic (3.52%),0.9491,0.0063,0.0094,0.0352
test_23_jpg.rf.5922b48bf8626f7185135333a52f9c20.jpg,organic,organic,96.85,True,metal (1.45%),0.0145,0.9685,0.008,0.009
test_1_jpg.rf.ad95a9cfb267d9077df13b41716647a3.jpg,organic,organic,91.7,True,metal (4.34%),0.0434,0.917,0.0183,0.0213
test_30_jpg.rf.cd8443f2e1e589a0ce13bea817557e54.jpg,organic,organic,91.5,True,metal (3.37%),0.0337,0.915,0.0247,0.0266
test_16_jpg.rf.1c72dbbba27a5f4789c1e623c08584cd.jpg,organic,organic,94.12,True,metal (2.77%),0.0277,0.9412,0.0141,0.017
test_27_jpg.rf.e737fd7fa324279a5c28dc0556ab3890.jpg,organic,organic,65.35,True,plastic (17.73%),0.1075,0.6535,0.0616,0.1773
test_18_jpg.rf.ddfbfde5bbb07f8d2e57ae48203b78fc.jpg,organic,organic,96.97,True,metal (1.38%),0.0138,0.9697,0.0074,0.0092
test_24_jpg.rf.ddf560dc37bbc778c465e7ceda1de3f4.jpg,organic,organic,96.45,True,metal (1.55%),0.0155,0.9645,0.0088,0.0111
test_14_jpg.rf.79b7ea1bac53d07a9f9a802506a00b16.jpg,organic,organic,97.63,True,metal (1.08%),0.0108,0.9763,0.0059,0.007
test_14_jpg.rf.79b7ea1bac53d07a9f9a802506a00b16.jpg,organic,organic,97.82,True,metal (0.94%),0.0094,0.9782,0.0054,0.007
test_14_jpg.rf.79b7ea1bac53d07a9f9a802506a00b16.jpg,organic,organic,93.96,True,metal (2.51%),0.0251,0.9396,0.0138,0.0215
test_14_jpg.rf.79b7ea1bac53d07a9f9a802506a00b16.jpg,organic,organic,89.69,True,plastic (4.61%),0.0365,0.8969,0.0205,0.0461
test_14_jpg.rf.79b7ea1bac53d07a9f9a802506a00b16.jpg,organic,organic,97.95,True,metal (0.92%),0.0092,0.9795,0.0052,0.0061
test_29_jpg.rf.5f1314386413e1544a14fc99d2975d18.jpg,organic,metal,40.36,False,organic (32.89%),0.4036,0.3289,0.1488,0.1188
test_2_jpg.rf.ea41916101b7747ee0fba8a520e7fe26.jpg,organic,organic,97.43,True,metal (1.09%),0.0109,0.9743,0.0065,0.0082
test_25_jpg.rf.cb2dd3b66ab3b4323bf7dc85c84c447b.jpg,organic,organic,82.81,True,metal (8.87%),0.0887,0.8281,0.0345,0.0487
test_9_jpg.rf.429e3a53a2b7f760ac6392c0bbbcdb21.jpg,organic,organic,92.87,True,metal (3.38%),0.0338,0.9287,0.0193,0.0182
test_22_jpg.rf.2737f5737477475c1f9f4e1804dbe96e.jpg,organic,organic,87.33,True,metal (5.67%),0.0567,0.8733,0.0379,0.0321
test_19_jpg.rf.4ed2775eb01d3722e63660f20a9ff717.jpg,organic,organic,94.36,True,paper (2.16%),0.0215,0.9436,0.0216,0.0133
test_28_jpg.rf.84425369584a264f63e883d5b02ed0af.jpg,organic,organic,88.12,True,metal (4.53%),0.0453,0.8812,0.0415,0.032
test_21_jpg.rf.a1584fd67ecdd7c410a70d1b58c99261.jpg,organic,organic,92.96,True,metal (3.08%),0.0308,0.9296,0.0226,0.017
test_7_jpg.rf.e0776391102ee352f6b3202e07187e2d.jpg,organic,metal,37.51,False,paper (35.73%),0.3751,0.0982,0.3573,0.1694
test_5_jpg.rf.afec7e18fa71a1bab00cfd38818fcb42.jpg,organic,organic,75.89,True,metal (11.35%),0.1135,0.7589,0.0516,0.076
test_26_jpg.rf.b58d96128a637ad5707e10c7c79cc515.jpg,organic,organic,97.08,True,metal (1.3%),0.013,0.9708,0.0073,0.0089
test_11_jpg.rf.1eb4ef5a64b92eebf9f28c266509e2ea.jpg,organic,organic,96.27,True,metal (1.59%),0.0159,0.9627,0.0095,0.0119
test_8_jpg.rf.38b2d373e8e0668170da25d24172b7aa.jpg,organic,metal,48.19,False,plastic (31.1%),0.4819,0.1127,0.0944,0.311
test_20_jpg.rf.103eb307da23a8752a2039564058dc6e.jpg,organic,organic,97.79,True,metal (0.99%),0.0099,0.9779,0.0057,0.0065
test_15_jpg.rf.e7ef1b6228dcdde06b5f358ef079051d.jpg,organic,organic,51.9,True,metal (21.56%),0.2156,0.519,0.1132,0.1522
test_12_jpg.rf.32d491b211e6b4fbb748a0988dea2091.jpg,organic,organic,67.83,True,paper (14.14%),0.1129,0.6783,0.1414,0.0674
test_17_jpg.rf.ed4a53eed275c3026e26901b3b73e971.jpg,organic,organic,94.96,True,metal (2.2%),0.022,0.9496,0.0143,0.0141
test_3_jpg.rf.ba9a1dad3ecc17d1eb36f5f797a64f26.jpg,organic,organic,71.18,True,paper (11.61%),0.1051,0.7118,0.1161,0.067
test_10_jpg.rf.6d566a62d50e1f0f0d8661af1c95019a.jpg,organic,organic,97.1,True,metal (1.28%),0.0128,0.971,0.0076,0.0087
test_6_jpg.rf.94436bf8b1725505cc51772cd8038d92.jpg,organic,organic,86.87,True,metal (5.36%),0.0536,0.8687,0.0276,0.0502
test_4_jpg.rf.ced6e92da227351556e2beb13236e9a0.jpg,organic,organic,97.86,True,metal (0.92%),0.0092,0.9786,0.0053,0.0068
test_13_jpg.rf.2807c136ce7d6cf98cc4e1232061d421.jpg,organic,organic,88.44,True,paper (4.57%),0.043,0.8844,0.0457,0.027
test_11_jpg.rf.00a2f4c0863c5c07946dfeb0b3eaf35e.jpg,paper,paper,90.04,True,plastic (4.51%),0.0405,0.014,0.9004,0.0451
test_3_jpg.rf.c7255e7b73f7b4b57cf9e58d49d796ad.jpg,paper,paper,63.32,True,plastic (20.35%),0.1054,0.0579,0.6332,0.2035
test_18_jpg.rf.9bdefbdf4c8870360a2a639bfdf6c16a.jpg,paper,paper,69.4,True,metal (18.8%),0.188,0.0254,0.694,0.0926
test_5_jpg.rf.0e4818a3dbb7aef764b11162005ad436.jpg,paper,paper,96.96,True,plastic (1.64%),0.008,0.0061,0.9696,0.0164
test_7_jpg.rf.e4d28de53602dfc0eb0c5974823990b0.jpg,paper,paper,96.84,True,plastic (1.47%),0.0119,0.0049,0.9684,0.0147
test_22_jpg.rf.feaa7646630494c406d2a33b810980c7.jpg,paper,paper,91.26,True,plastic (3.9%),0.0375,0.0109,0.9126,0.039
test_28_jpg.rf.3568b71e32a6d3be20c69dc7b2586f3c.jpg,paper,paper,96.15,True,plastic (1.91%),0.0145,0.0049,0.9615,0.0191
test_23_jpg.rf.607445846a8321d3934f949f8f286400.jpg,paper,paper,80.47,True,plastic (10.69%),0.0661,0.0223,0.8047,0.1069
test_24_jpg.rf.1780f70ae8aa6b3f7148ed2349a8d838.jpg,paper,paper,76.39,True,plastic (12.51%),0.0946,0.0164,0.7639,0.1251
test_16_jpg.rf.2745bcca90b08c6f6f6dc6d1b7dc223b.jpg,paper,paper,69.72,True,metal (20.05%),0.2005,0.0249,0.6972,0.0775
test_29_jpg.rf.45ff9a36a41d25f5bebf709764d2f22f.jpg,paper,paper,97.02,True,plastic (1.43%),0.0103,0.0052,0.9702,0.0143
test_9_jpg.rf.ccf51486720ea5184f7a50d5c3fff742.jpg,paper,paper,91.32,True,plastic (4.8%),0.0243,0.0146,0.9132,0.048
test_26_jpg.rf.da8b787f2a8d36075a13c4abf09e067d.jpg,paper,paper,97.04,True,plastic (1.52%),0.0082,0.0061,0.9704,0.0152
test_4_jpg.rf.3db9def7db5d5027a78a2e9bd6393036.jpg,paper,paper,97.15,True,plastic (1.27%),0.0105,0.0053,0.9715,0.0127
test_19_jpg.rf.a40b705b4adf6b6a1dfab0967cab1b5d.jpg,paper,paper,72.97,True,plastic (15.38%),0.0758,0.0407,0.7297,0.1538
test_15_jpg.rf.4072917cee468dca3b7a2b1b0628ed01.jpg,paper,plastic,91.32,False,metal (4.64%),0.0464,0.0079,0.0325,0.9132
test_20_jpg.rf.a59d451aed0aa27054fbbdd384530bc5.jpg,paper,paper,96.98,True,plastic (1.62%),0.0097,0.0042,0.9698,0.0162
test_14_jpg.rf.37d85be77249c186c2f20a72a0250014.jpg,paper,paper,58.66,True,plastic (22.63%),0.1195,0.0676,0.5866,0.2263
test_2_jpg.rf.5784c19cb237db9fc86aca77988735f5.jpg,paper,paper,96.35,True,plastic (1.93%),0.0117,0.0055,0.9635,0.0193
test_21_jpg.rf.08768a55344e8fffa9d3081009f4d98e.jpg,paper,paper,96.53,True,plastic (1.69%),0.0112,0.0066,0.9653,0.0169
test_12_jpg.rf.ed44c272aa6d5586e9cbfc72fb05a585.jpg,paper,paper,97.3,True,plastic (1.32%),0.0086,0.0052,0.973,0.0132
test_13_jpg.rf.36332a600e685092a892fc663c26fd9a.jpg,paper,plastic,57.92,False,paper (29.58%),0.108,0.0169,0.2958,0.5792
test_10_jpg.rf.2eaf092925eddf8de51b4ef0f68ac138.jpg,paper,paper,93.95,True,plastic (3.61%),0.0142,0.0102,0.9395,0.0361
test_27_jpg.rf.b42dc35a9a6ce58786ef2a2a60f24d4e.jpg,paper,paper,97.1,True,plastic (1.37%),0.011,0.0043,0.971,0.0137
test_30_jpg.rf.36019b75659b4e80250b4461025f81e6.jpg,paper,paper,91.78,True,plastic (3.72%),0.0327,0.0123,0.9178,0.0372
test_17_jpg.rf.a79f43d11a28dd341e871faa63011c01.jpg,paper,paper,86.38,True,plastic (8.43%),0.0348,0.0172,0.8638,0.0843
test_25_jpg.rf.00ee4685b3ec450556479f27227ea4ce.jpg,paper,paper,86.02,True,plastic (6.54%),0.055,0.0195,0.8602,0.0654
test_8_jpg.rf.ded128116c3c627b5b7cc9a5e63cfb70.jpg,paper,paper,60.74,True,plastic (19.47%),0.1439,0.054,0.6074,0.1947
test_1_jpg.rf.f0f158ada36850535de04457715edc17.jpg,paper,paper,96.34,True,plastic (1.7%),0.011,0.0087,0.9634,0.017
test_6_jpg.rf.5ca987f6b1c36f21f94b5e882aa1197a.jpg,paper,paper,67.64,True,metal (15.95%),0.1595,0.0693,0.6764,0.0948
test_9_jpg.rf.f0daf92fb732cc58e318f90facc296de.jpg,plastic,plastic,94.85,True,metal (3.05%),0.0305,0.0065,0.0146,0.9485
test_11_jpg.rf.a66c605caa8ae00116dbb4c71aa7ceca.jpg,plastic,plastic,58.0,True,metal (22.4%),0.224,0.026,0.1701,0.58
test_11_jpg.rf.a66c605caa8ae00116dbb4c71aa7ceca.jpg,plastic,plastic,95.47,True,metal (2.88%),0.0288,0.0061,0.0104,0.9547
test_17_jpg.rf.d0358f6ab4068dba32527fc4a04b5c94.jpg,plastic,plastic,87.43,True,metal (9.61%),0.0961,0.0103,0.0193,0.8743
test_18_jpg.rf.ef655bfa406c6501b39a2ec4a1694da9.jpg,plastic,plastic,88.67,True,metal (6.19%),0.0619,0.0106,0.0408,0.8867
test_14_jpg.rf.22702dafac323432d697f949f94303af.jpg,plastic,plastic,92.02,True,metal (5.51%),0.0551,0.0092,0.0156,0.9202
test_14_jpg.rf.22702dafac323432d697f949f94303af.jpg,plastic,plastic,93.15,True,metal (4.43%),0.0443,0.0086,0.0156,0.9315
test_1_jpg.rf.b29125d54e32ee590267b1b38c4b8027.jpg,plastic,plastic,71.22,True,metal (17.26%),0.1726,0.0164,0.0988,0.7122
test_12_jpg.rf.40058b90743c85c93bc48c5774c0d8f0.jpg,plastic,plastic,96.88,True,metal (1.9%),0.019,0.0052,0.0071,0.9688
test_21_jpg.rf.6a790aa479ae3849d3d7974395961d56.jpg,plastic,plastic,95.23,True,metal (3.06%),0.0306,0.0067,0.0104,0.9523
test_16_jpg.rf.5ee97e8829ab466d5d83aecd6cefe807.jpg,plastic,plastic,78.82,True,metal (12.84%),0.1284,0.0169,0.0666,0.7882
test_16_jpg.rf.5ee97e8829ab466d5d83aecd6cefe807.jpg,plastic,plastic,90.73,True,paper (5.1%),0.0315,0.0102,0.051,0.9073
test_5_jpg.rf.1ce51692610b51a50be18d530b595e54.jpg,plastic,plastic,78.91,True,metal (12.56%),0.1256,0.0175,0.0678,0.7891
test_15_jpg.rf.9b7e9706cad2a393a3777d32b2b2e312.jpg,plastic,plastic,68.84,True,metal (26.28%),0.2628,0.0182,0.0306,0.6884
test_19_jpg.rf.cbd0335b95c376823d57090c5e8fb30f.jpg,plastic,metal,91.12,False,plastic (6.12%),0.9112,0.0107,0.0169,0.0612
test_24_jpg.rf.f06d808f1c78dcc9f7129ac625e81f09.jpg,plastic,plastic,96.75,True,metal (2.01%),0.0201,0.0048,0.0076,0.9675
test_3_jpg.rf.244547802d662871334a1c9c79d15606.jpg,plastic,metal,61.21,False,plastic (25.78%),0.6121,0.0256,0.1044,0.2578
test_27_jpg.rf.c6c7bd2e36938c20c1effcaaf4303e2d.jpg,plastic,metal,40.24,False,plastic (35.2%),0.4024,0.0345,0.2111,0.352
test_8_jpg.rf.ee348c905f2f5253d543c54cc73debeb.jpg,plastic,plastic,86.89,True,metal (8.5%),0.085,0.0117,0.0343,0.8689
test_30_jpg.rf.e99bcefff5e7b9837dbcfd6660b7e7b8.jpg,plastic,paper,69.34,False,plastic (16.2%),0.1143,0.0303,0.6934,0.162
test_10_jpg.rf.f943a02261b6c36f633ff1bca70bc833.jpg,plastic,plastic,84.7,True,metal (10.94%),0.1094,0.0117,0.0319,0.847
test_2_jpg.rf.97ddd3d6d94809be90d6b50793ed4928.jpg,plastic,plastic,67.99,True,paper (22.05%),0.077,0.0226,0.2205,0.6799
test_25_jpg.rf.149f4bff5716efbdd944c5664769efda.jpg,plastic,plastic,52.16,True,metal (28.53%),0.2853,0.0204,0.1727,0.5216
test_7_jpg.rf.a370d2ff381b60b773e9df56d13723ba.jpg,plastic,plastic,94.44,True,metal (3.38%),0.0338,0.0069,0.0149,0.9444
test_4_jpg.rf.c073c203d1f45d502119aff6a0d956bd.jpg,plastic,plastic,53.32,True,metal (28.03%),0.2803,0.0763,0.1102,0.5332
test_26_jpg.rf.b236bd39771c734776580e11eaa54f23.jpg,plastic,plastic,69.5,True,metal (24.67%),0.2467,0.018,0.0402,0.695
test_6_jpg.rf.eec4b2cf6cd08740e7ecaa1edeb517ae.jpg,plastic,paper,59.82,False,plastic (29.36%),0.0887,0.0195,0.5982,0.2936
test_22_jpg.rf.4fae8a2b67985276924d10c4c7a67855.jpg,plastic,plastic,77.05,True,metal (17.02%),0.1702,0.0131,0.0462,0.7705
test_13_jpg.rf.7e39bb3193099488c246a30b44ae072e.jpg,plastic,plastic,95.09,True,metal (3.24%),0.0324,0.0067,0.0101,0.9509
test_28_jpg.rf.0c170ae402d523319a233d616099b5af.jpg,plastic,plastic,89.9,True,metal (6.96%),0.0696,0.0114,0.02,0.899
test_23_jpg.rf.a62ab6cf0ab0a86d32684a2a40b10c4e.jpg,plastic,plastic,96.84,True,metal (1.94%),0.0194,0.0052,0.007,0.9684
test_29_jpg.rf.2894a84fd1bc2c062d8a4638bed4be14.jpg,plastic,metal,69.14,False,plastic (26.93%),0.6914,0.0131,0.0262,0.2693
test_20_jpg.rf.8141669ba06eb3ac885013d1b0924401.jpg,plastic,plastic,65.63,True,metal (21.45%),0.2145,0.0247,0.1045,0.6563
test_20_jpg.rf.8141669ba06eb3ac885013d1b0924401.jpg,plastic,plastic,93.94,True,metal (4.07%),0.0407,0.0067,0.0133,0.9394
